tk,ret,pkr,mul,dd,pass,spy
TXRH,1.33,1.442,-0.207,-0.262,True,0.8008788571757468
PNR,0.14,0.667,-0.442,-0.505,True,0.8151543709828799
ARWR,0.21,0.359,-0.85,-0.889,False,0.9235790984689998
KNX,0.382,0.472,-0.33,-0.38,True,0.7092571954931832
PAG,1.256,1.342,-0.036,-0.24,True,0.8083985885793605
ALLE,0.075,0.371,-0.349,-0.389,True,0.8299517463157762
MGM,0.213,0.299,-0.342,-0.493,False,0.8008788571757468
FROG,1.393,1.406,-0.551,-0.562,False,0.6953580442761287
MOH,-0.088,0.645,-0.519,-0.708,True,0.9032471620661233
AEIS,3.495,3.906,-0.006,-0.399,True,1.0349671498705182
OC,0.703,1.305,-0.221,-0.525,True,0.8158989576920381
AFG,0.858,0.876,-0.014,-0.238,True,0.8939588917373562
CLX,-0.354,0.071,-0.423,-0.461,False,0.3104603454080639
AAL,-0.144,0.05,-0.572,-0.593,False,0.8299517463157762
HUT,3.572,4.748,-0.54,-0.648,False,0.27276108602901417
